Sample,TotalSig1Number,TotalSig5Number,TotalSig7Number,GDC_SigData.TotalMutNumber,CLASSIFICATION
TCGA-D3-A51F-06A-11D-A25O-08,0,0,0.748223192,133,BRAF
TCGA-D3-A51G-06A-11D-A25O-08,0.081905153,0,0.767358435,1651,NRAS
TCGA-D3-A51H-06A-12D-A25O-08,0.023430829,0,0.543402772,21,WT
TCGA-D3-A51J-06A-11D-A25O-08,0.051152195,0,0.808470499,574,BRAF
TCGA-D3-A51K-06A-11D-A25O-08,0,0,0,32,WT
TCGA-D3-A51N-06A-11D-A25O-08,0.043580052,0.162278442,0.463007707,116,BRAF
TCGA-D3-A51R-06A-11D-A25O-08,0.057220186,0,0.923350369,929,NRAS
TCGA-D3-A51T-06A-11D-A25O-08,0.04483262,0,0.841035539,1453,WT
TCGA-D3-A5GL-06A-11D-A27K-08,0.068634474,0.124993572,0.647396586,543,WT
TCGA-D3-A5GN-06A-11D-A27K-08,0,0,0.965932671,640,BRAF
TCGA-D3-A5GO-06A-12D-A27K-08,0,0,0.947150664,2071,NRAS
TCGA-D3-A5GR-06A-11D-A27K-08,0.019280068,0.098846287,0.792849503,310,BRAF
TCGA-D3-A5GS-06A-11D-A27K-08,0.014821696,0,0.880744422,558,BRAF
TCGA-D3-A5GT-01A-12D-A30X-08,0.550438315,0,0,31,BRAF
TCGA-D3-A5GU-06A-11D-A27K-08,0.057719573,0,0.665588839,994,BRAF
TCGA-D3-A8GB-06A-11D-A372-08,0.039114612,0,0.810556716,1416,BRAF
TCGA-D3-A8GC-06A-11D-A372-08,0.021015861,0,0.825867098,1135,NRAS
TCGA-D3-A8GD-06A-11D-A372-08,0.237784932,0,0.287105846,118,BRAF
TCGA-D3-A8GE-06A-11D-A372-08,0,0,0,7,WT
TCGA-D3-A8GI-06A-11D-A372-08,0.039174115,0,0.930397798,6575,NRAS
TCGA-D3-A8GJ-06A-11D-A372-08,0.079065051,0,0.892374644,270,BRAF
TCGA-D3-A8GK-06A-11D-A372-08,0.013842127,0.052170681,0.83769279,727,NRAS
TCGA-D3-A8GL-06A-11D-A372-08,0.046386885,0,0.911927913,2446,NRAS
TCGA-D3-A8GM-06A-11D-A372-08,0.049454084,0,0.771259866,4827,WT
TCGA-D3-A8GN-06A-11D-A372-08,0.075934824,0,0.846077023,310,BRAF
TCGA-D3-A8GO-06A-11D-A372-08,0.057461052,0,0.856986923,761,BRAF
TCGA-D3-A8GP-06A-11D-A372-08,0.051187653,0.098837651,0.784962632,755,WT
TCGA-D3-A8GQ-06A-11D-A372-08,0.03747465,0,0.900192698,1895,NRAS
TCGA-D3-A8GR-06A-11D-A372-08,0.042630995,0,0.672156819,475,NRAS
TCGA-D3-A8GS-06A-12D-A372-08,0.069850285,0,0.686291719,276,BRAF
TCGA-D3-A8GV-06A-11D-A372-08,0.099008389,0,0.850099611,537,BRAF
TCGA-D9-A148-06A-11D-A19A-08,0.021645905,0,0.666398483,333,BRAF
TCGA-D9-A149-06A-11D-A196-08,0.120256586,0,0.769045124,299,WT
TCGA-D9-A1JW-06A-11D-A19A-08,0.03266469,0,0.79672801,1176,WT
TCGA-D9-A1JX-06A-11D-A19A-08,0.146043611,0,0.779226091,231,BRAF
TCGA-D9-A1X3-06A-11D-A197-08,0.726467113,0,0.160844233,41,WT
TCGA-D9-A3Z1-06A-11D-A23B-08,0.074713231,0,0.840599745,662,NRAS
TCGA-D9-A3Z3-06A-11D-A23B-08,0.026645394,0.097460616,0.782798204,180,BRAF
TCGA-D9-A3Z4-01A-11D-A23B-08,0.129448506,0,0.597304069,195,NRAS
TCGA-D9-A4Z2-01A-11D-A24R-08,0.216432925,0,0,29,BRAF
TCGA-D9-A4Z3-01A-11D-A25O-08,0.018589721,0,0.702972983,1050,NRAS
TCGA-D9-A4Z5-01A-11D-A25O-08,0.047666009,0,0.12071826,77,WT
TCGA-D9-A4Z6-06A-12D-A25O-08,0.018333832,0,0.917014496,350,WT
TCGA-D9-A6E9-06A-12D-A30X-08,0,0,0.743396653,216,BRAF
TCGA-D9-A6EA-06A-11D-A30X-08,0.021050584,0.073087489,0.833468114,850,NRAS
TCGA-D9-A6EC-06A-11D-A30X-08,0,0,0.600935458,5481,NF1
TCGA-D9-A6EG-06A-12D-A32N-08,0.199329677,0,0.365144072,100,BRAF
TCGA-DA-A1HV-06A-21D-A196-08,0.04946453,0,0.897721938,1745,NRAS
TCGA-DA-A1HW-06A-11D-A19A-08,0.064502143,0,0.81931139,416,BRAF
TCGA-DA-A1HY-06A-11D-A19A-08,0.022196229,0,0.857124743,973,BRAF
TCGA-DA-A1I0-06A-11D-A20D-08,0.052508703,0,0.78639439,661,BRAF
TCGA-DA-A1I1-06A-12D-A196-08,0.056015546,0,0.814464684,476,WT
TCGA-DA-A1I2-06A-21D-A19A-08,0.055603124,0,0.689806246,158,BRAF
TCGA-DA-A1I4-06A-11D-A196-08,0.112188309,0,0.867791717,349,BRAF
TCGA-DA-A1I5-06A-11D-A197-08,0.013150584,0,0.953656452,498,BRAF
TCGA-DA-A1I7-06A-22D-A197-08,0.173738495,0,0.77650314,533,BRAF
TCGA-DA-A1I8-06A-11D-A197-08,0,0,0.543316298,223,BRAF
TCGA-DA-A1IA-06A-11D-A196-08,0.072535177,0,0.598463717,453,WT
TCGA-DA-A1IB-06A-11D-A196-08,0,0,0,11,WT
